Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Пʼятаченко,Камілла,Леонтіївна,Жіноча,21.10.1979,Штукатур,селище Бровари,"сквер Марії Демченко, буд. 9 кв. 9, Молочанськ, 32405",+380 78 182 81 76,mprymachenko@example.org
Івасюк,Ганна,Омелянівна,Жіноча,06.10.1986,Астроном,село Глухів,"проспект Тираспольська, буд. 69, Приморськ (Україна), 19521",175 52 97,tovstukhaanita@example.com
Гузенко,Емілія,Августинівна,Жіноча,06.11.2004,Дипломат,село Красноград,"провулок Маяковського, буд. 162, Луцьк, 29234",992-39-80,stepandeineko@example.com
Макогон,Михайлина,Олегівна,Жіноча,16.03.1950,Футболіст,місто Винники,"сквер Матроська Слобідка, буд. 58 кв. 052, Борзна, 10617",080 560-01-12,nsyrotenko@example.net
Воблий,Анастасія,Захарівна,Жіноча,26.12.1940,Мірошник,хутір Кропивницький,"сквер Студентський 1-й, буд. 2, Харків, 85886",050 39 97,ddankiv@example.com
Дрозденко,Ярина,Орхипівна,Жіноча,06.02.1959,Мовознавець,місто Корсунь-Шевченківський,"набережна Пересипський узвіз, буд. 8, Джанкой, 40707",+380 24 692-24-24,babiiiosyp@example.org
Тесля,Марія,Борисівна,Жіноча,21.08.1952,Соціолог,селище Надвірна,"шосе Кострова, буд. 542, Ковель, 18036",057 319 34 14,hlibkhudiak@example.net
Шелест,Ірена,Богданівна,Жіноча,10.10.1970,Флорист,селище Долинська,"площа Полтавська, буд. 06 кв. 04, Кременчук, 83512",013 980 89 22,eibozhenkoillia@example.org
Орлик,Ірена,Валеріївна,Жіноча,19.02.1951,Мікробіолог,хутір Решетилівка,"проспект Косяченка Олексія, буд. 7 кв. 67, Часів Яр, 36119",045 015-63-68,sviatoslav91@example.com
Якимчук,Тетяна,Спасівна,Жіноча,11.03.1952,Археолог,селище Зеленодольськ,"набережна Мічуріна, буд. 31 кв. 4, Червоноград, 09695",+380 54 327-60-87,vashchenko-zakharchenkomarko@example.org
Теличенко,Пріска,Тарасівна,Жіноча,12.08.1973,Фольклорист,місто Семенівка,"провулок Балтський 2-й, буд. 93 кв. 7, Василівка , 09033",+380 28 686 46 40,udrobakha@example.net
Рубець,Світлана,Романівна,Жіноча,11.10.1986,Вчитель,місто Вовчанськ,"сквер Морська, буд. 34 кв. 91, Батурин, 20986",774-16-92,fpanchuk@example.com
Єресько,Юстина,Валеріївна,Жіноча,08.08.1962,Історик,місто Ямпіль,"площа Лавкова, буд. 90, Кілія, 90304",041 977 90 55,rredko@example.net
Голобородько,Олена,Спасівна,Жіноча,10.05.1962,Фольклорист,село Тальне,"шосе Горбатий міст, буд. 01, Ходорів, 90292",291 30 21,violetta72@example.net
Микитюк,Емілія,Гаврилівна,Жіноча,01.11.1985,Програміст,село Берестечко,"парк Садовий, буд. 3, Соледар, 14798",043 070-92-25,bohuslav53@example.org
Рак,Святослава,Макарівна,Жіноча,18.04.2003,Єгер,місто Надвірна,"вулиця Горіхова, буд. 8, Монастириська, 01682",444 28 83,baklanliudmyla@example.com
Коваленко,Тетяна,Панасівна,Жіноча,16.11.2003,Швачка,село Глобине,"сквер Отамана Головатого, буд. 81 кв. 7, Монастириська, 78231",+380 (07) 625-54-15,qzaporozhets@example.net
Фаренюк,Ірена,Григоріївна,Жіноча,04.10.1970,Парфюмер,місто Вишгород,"набережна Радісний, буд. 09 кв. 89, Дубно, 92284",029 423-55-93,leon18@example.org
Полтавець,Данна,Георгіївна,Жіноча,19.07.1945,Фермер,село Міусинськ,"набережна Пироговський, буд. 3 кв. 13, Вінниця, 92687",+380 01 832 26 25,olhazakharenko@example.net
Цибуленко,Ліза,Марківна,Жіноча,24.11.1952,Астронавт,місто Генічеськ,"набережна Басейний 1-й, буд. 86, Рава-Руська, 46406",020 041 40 36,dvakhnii@example.com
Вахній,Альбіна,Едуардівна,Жіноча,24.06.1946,Золотар,місто Житомир,"площа Бучми, буд. 6, Благовіщенське, 22205",156 27 80,iarynaderkach@example.net
Франчук,Віра,Орестівна,Жіноча,30.01.1970,Няня,хутір Старобільськ,"площа Новиков міст, буд. 764, Довжанськ, 86018",609-49-43,babiakhlib@example.com
Щорс,Амалія,Микитівна,Жіноча,20.03.1949,Кінорежисер,місто Балаклія,"вулиця Амурська, буд. 7 кв. 4, Єнакієве, 38212",+380 03 573-93-39,fesenkospas@example.net
Медведенко,Христина,Демидівна,Жіноча,29.04.1970,Письменник,хутір Новодністровськ,"сквер Асташкіна, буд. 4, Зеленодольськ, 98595",+380 91 741 05 53,vskyba@example.net
Цушко,Богданна,Геннадіївна,Жіноча,10.07.1958,Футболіст,селище Радивилів,"сквер Професора Каришковського, буд. 2 кв. 013, Здолбунів, 01860",+380 (13) 460-86-16,rozaliiaokhrymovych@example.net
Тарасенко,Камілла,Аврелійовна,Жіноча,21.09.1972,Прокурор,хутір Семенівка,"проспект Овідіопольська, буд. 13, Радехів, 22651",088 662 68 74,valeriipelekh@example.com
Андрійович,Лілія,Святославівна,Жіноча,13.09.1940,Кур'єр,хутір Яворів,"набережна Заводська 1-ша, буд. 6, Сулимівка (Слов'янськ), 16052",+380 32 624-96-40,dnosachenko@example.net
Власюк,Емілія,Романівна,Жіноча,25.10.1956,Гінеколог,селище Севастополь,"проспект Ніжинська, буд. 2 кв. 227, Горішні Плавні, 01479",041 303-26-38,ostaplahoda@example.com
Данченко,Клавдія,Костянтинівна,Жіноча,13.07.1945,Маркетолог,місто Зеленодольськ,"площа Олександра Вронського, буд. 12, Слов'янськ, 04777",+380 51 267-98-31,olifirenkoborys@example.com
Дахно,Оксана,Ігорівна,Жіноча,03.11.1993,Драматург,селище Червоносів,"провулок Латвійський узвіз, буд. 724 кв. 4, Святогірськ, 52655",008 075-00-63,sviatoslavopanasenko@example.com
Тихий,Варвара,Іллівна,Жіноча,25.09.2007,Нотаріус,місто Червоноград,"сквер Заводська, буд. 122 кв. 18, Світловодськ, 07069",630-48-45,ivlasenko@example.com
Бабійчук,Володимира,Миколаївна,Жіноча,19.05.1979,Стоматолог,місто Тальне,"провулок Економічний, буд. 3 кв. 5, Буськ, 18359",042-44-83,ivanzhuchenko@example.net
Шморгун,Марта,Вʼячеславівна,Жіноча,22.06.1964,Юрист,селище Мерефа,"узвіз Василя Кандинського 5-й, буд. 2 кв. 84, Вилкове, 71923",060 733-06-43,olehprotsenko@example.net
Таран,Орина,Яремівна,Жіноча,12.05.1990,Електротехнік,місто Гадяч,"набережна М’ясоєдовська, буд. 499 кв. 19, Барвінкове, 78157",046 657 89 41,bohuslavtsymbal@example.net
Власенко,Лілія,Тарасівна,Жіноча,17.08.1972,Менеджер,хутір Підгайці,"шосе Юрія Олеші, буд. 99, Луганськ, 36925",+380 (93) 294-51-59,nkyrylenko@example.net
Юрчук,Варвара,Яремівна,Жіноча,18.05.1953,Кінокритик,селище Ясинувата,"шосе Прохоровський, буд. 95, Немирів, 40988",+380 24 828-50-55,darahanihor@example.com
Данчук,Михайлина,Мартинівна,Жіноча,12.07.1938,Геолог,село Кам'янське,"проспект Яружний, буд. 7, Апостолове, 51582",+380 91 735-99-04,tsymbalavrelii@example.com
Полтавець,Надія,Климентівна,Жіноча,11.08.1953,Адвокат,селище Новий Розділ,"узвіз Восьмого Березня Лінія 4-та, буд. 51, Рівне, 23439",182 71 60,eduard94@example.org
Хорішко,Альбіна,Амвросійовна,Жіноча,03.12.1947,Астрофізик,селище Бережани,"узвіз Краснослобідська, буд. 3, Городенка, 15420",+380 83 225-74-11,yvakarchuk@example.com
Дробаха,Данна,Пантелеймонівна,Жіноча,12.05.1986,Машиніст,село Любомль,"узвіз Онілової, буд. 08, Залізне, 96296",056 150 36 56,martyn28@example.org
Червоненко,Аніта,Омелянівна,Жіноча,20.03.1939,Геофізик,селище Галич,"сквер Підйомний, буд. 1, Вараш, 06260",921-53-72,les64@example.com
Гайдабура,Камілла,Охрімівна,Жіноча,14.08.1951,Бібліотекар,селище Липовець,"шосе Крайня, буд. 543 кв. 825, Бобринець, 71983",+380 92 028 30 99,albinashevchenko@example.org
Бандура,Ірина,Ростиславівна,Жіноча,10.09.1989,Головний меркшейдер,місто Кальміуське,"площа Чорноморський 6-й, буд. 049 кв. 1, Тернопіль, 80099",058 151 31 23,olesbabarychenko@example.net
Даньків,Володимира,Антонівна,Жіноча,20.10.1965,Кінорежисер,село Батурин,"узвіз Складська, буд. 81, Ладижин, 54475",081 999-33-14,kkhmara@example.org
Абрамчук,Вікторія,Григоріївна,Жіноча,23.02.1949,Мовознавець,селище Знам'янка,"вулиця Студентський 3-й, буд. 6 кв. 076, Турка, 42033",+380 (58) 757-11-52,aierchenko@example.org
Ящук,Аніта,Станіславівна,Жіноча,05.02.2002,Громадський діяч,хутір Чернігів,"вулиця Новгородський 2-й, буд. 284, Іловайськ, 92183",039-00-87,khoma08@example.org
Шовкопляс,Єлисавета,Костянтинівна,Жіноча,16.07.2004,Географ,село Семенівка,"площа Тимірязєва, буд. 18, Сіверськ, 01893",+380 37 733 92 84,pzharko@example.org
Хоменко,Ліза,Веніяминівна,Жіноча,03.08.1950,Гірничий інженер,хутір Берислав,"сквер Мазепи Івана, буд. 9, Болехів, 95859",079 483-96-79,oksana18@example.org
Забашта,Богданна,Альбертівна,Жіноча,01.08.1963,Науковець,село Сіверськ,"узвіз Південна дорога, буд. 64 кв. 066, Липовець, 44395",708-98-83,orestdashenko@example.com
Дрозденко,Ольга,Олександрівна,Жіноча,10.02.1988,Кіноактор,місто Кам'янка (Черкаська область),"площа 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 50 кв. 48, Вінниця, 02799",721-46-50,usykdavyd@example.com
Корж,Ада,Остапівна,Жіноча,01.08.1953,Електротехнік,село Ялта,"провулок Новікова 2-га, буд. 68, Монастириська, 27679",+380 29 967-70-02,batihles@example.com
Ткаченко,Анастасія,Вікторівна,Жіноча,05.10.1948,Драматург,хутір Надвірна,"площа Станційна 3-тя, буд. 575, Глиняни, 73234",647 07 30,tsushkonataliia@example.net
Гаврилець,Данна,Станіславівна,Жіноча,28.04.1938,Композитор,село Добромиль,"сквер Наявний 7-й, буд. 84, Лохвиця, 91616",028 555-63-84,phohol-ianovskyi@example.com
Назаренко,Єлисавета,Іванівна,Жіноча,12.01.1993,Антрополог,селище Судова Вишня,"узвіз Селекційний, буд. 00, Молодогвардійськ, 52592",018 387 10 91,olhasyrotenko@example.org
Чайка,Варвара,Владиславівна,Жіноча,18.02.1998,Акушер,місто Южноукраїнськ,"шосе Акордна, буд. 77, Борзна, 15370",702 95 00,raktetiana@example.net
Гайда,Аліна,Дмитріївна,Жіноча,06.09.1981,Співак,селище Ічня,"площа Шухевича Романа, буд. 3 кв. 47, Вилкове, 41139",027 216 22 57,hryhorii82@example.net
Івасюк,Тереза,Богуславівна,Жіноча,12.03.1990,Євнух,місто Кременець,"площа Проектований 4-й, буд. 32, Бобринець, 81579",069 742-22-55,iakivshcherban@example.com
Проценко,Анастасія,Давидівна,Жіноча,18.07.1946,Соціолог,селище Новоселиця,"парк Урожайна, буд. 59 кв. 7, Вишневе , 46439",099 014 19 01,larysalavrenko@example.net
Штепа,Святослава,Остапівна,Жіноча,10.05.1952,Головний меркшейдер,хутір Дрогобич,"сквер Олександра Кутузакія, буд. 835, Комарно, 40716",073 111-30-10,zhalilooleh@example.com
Данилюк,Оксенія,Борисівна,Жіноча,11.12.1938,Менеджер,селище Тростянець,"провулок Вокзальний, буд. 6 кв. 53, Христинівка, 84093",458-78-36,stelmakhivan@example.org
Ґоляш,Ірена,Петрівна,Жіноча,21.09.1962,Єгер,селище Судак ,"набережна Лютневий 1-й, буд. 6 кв. 8, Старий Крим, 26066",036 710 72 00,rhaivoronskyi@example.net
Дергач,Варвара,Феофанівна,Жіноча,12.12.1958,Фрілансер,хутір Вільнянськ,"узвіз Друга, буд. 3, Сокиряни, 57846",+380 61 615-03-23,hordii21@example.net
Іваненко,Клавдія,Станіславівна,Жіноча,17.07.1939,Няня,місто Київ,"вулиця Лінія 42-га, буд. 0, Кам'янка-Бузька, 48264",887-07-39,khudiakievhen@example.org
Скорик,Святослава,Георгіївна,Жіноча,09.08.2002,Сантехнік,село Баштанка,"сквер Аркаса Миколи, буд. 109, Семенівка, 41974",480-87-68,okhrimdavymuka@example.com
Власенко,Людмила,Захарівна,Жіноча,16.02.1962,Електрослюсар,хутір Чернігів,"шосе Пироговська, буд. 28 кв. 8, Валки , 93097",587-64-19,orynadavydenko@example.net
Єрмоленко,Олена,Вʼячеславівна,Жіноча,16.11.1962,Гірничий інженер,хутір Бровари,"площа Кибальчича, буд. 72, Іллінці, 92388",+380 (59) 018-19-98,volodymyra64@example.com
Гайдамака,Ірена,Віталіївна,Жіноча,10.06.1964,Електромонтажник,хутір Городенка,"парк Толбухіна, буд. 44, Тульчин, 91779",+380 56 888-69-13,illia24@example.net
Пушкар,Клавдія,Григоріївна,Жіноча,03.12.1963,Стиліст,селище Благовіщенське,"вулиця Семінарська, буд. 660, Голубівка, 03718",+380 72 348-50-07,aarontereshchuk@example.org
Шило,Марта,Олегівна,Жіноча,29.01.1968,Фізик,село Кременчук,"проспект Дністровська, буд. 7, Київ, 14614",943-68-67,okhrimenkoadam@example.com
Петренко,Богуслава,Арсенівна,Жіноча,29.04.1992,Редактор,селище Сорокине,"шосе Дунаєва, буд. 07, Кам'янка-Бузька, 29917",+380 76 070 21 32,hohol-ianovskyileonid@example.com
Теличенко,Маруся,Миколаївна,Жіноча,07.01.1992,Модель,хутір Коростень,"площа Крутоярська, буд. 3 кв. 32, Вугледар, 27845",068 035-04-94,myroslavzabarnyi@example.com
Гресь,Христина,Віталіївна,Жіноча,11.04.1997,Модель,селище Одеса,"проспект Грибоєдова, буд. 0 кв. 02, Корюківка, 11439",053 129 02 96,hressviatoslav@example.org
Гаврюшенко,Алла,Симонівна,Жіноча,11.12.1978,Кушнір,місто Березівка,"набережна 12-та Суворовська, буд. 03, Старий Крим, 09661",045 436-63-94,lesabramenko@example.net
Фастенко,Варвара,Гордіївна,Жіноча,23.01.1951,Клавішник,хутір Пирятин,"узвіз Змієнка Всеволода, буд. 2, Васильків, 96864",+380 57 404 44 50,varfolomii14@example.net
Жук,Варвара,Демидівна,Жіноча,19.08.1982,Фермер,селище Ланівці,"набережна Венгера, буд. 5 кв. 972, Енергодар, 14013",332-21-84,vasylyna18@example.org
Дараган,Володимира,Андріївна,Жіноча,10.12.2002,Музикознавець,хутір Рожище,"шосе Ляпунова, буд. 004, Луцьк, 07723",077 221-83-30,nkolisnychenko@example.org
Гузій,Камілла,Болеславівна,Жіноча,15.11.1965,Дантист,село Долина ,"провулок Восьмого березня 4-й, буд. 518 кв. 006, Благовіщенське, 61901",+380 15 896-21-41,vasyl60@example.net
Хоменко,Едита,Володимирівна,Жіноча,20.06.2004,Професор,місто Зміїв,"узвіз Путьова, буд. 23 кв. 17, Фастів, 15402",035 871 55 52,zdrobakha@example.net
Жадан,Мілена,Остапівна,Жіноча,20.08.1941,Драматург,село Нікополь,"проспект Прохоровський, буд. 0, Мукачево, 57415",+380 (29) 319-56-05,nestoriurchyshyn@example.net
Деркач,Златослава,Богодарівна,Жіноча,13.12.1957,Кухар,село Ірміно,"проспект Балтський 5-й, буд. 27 кв. 5, Сновськ, 36861",027 560-66-99,avreliiadamenko@example.net
Луценко,Пріска,Демидівна,Жіноча,12.02.1991,Історик,селище Арциз,"парк Проектна 2-га, буд. 186, Ворожба, 43894",016 377-41-62,bairakopanas@example.com
Оробець,Одарка,Костянтинівна,Жіноча,02.07.1994,Бізнесмен,село Підгородне,"узвіз Історія Футболу, буд. 8 кв. 844, Калуш, 57208",+380 39 506-16-23,iefremivanchenko@example.net
Швайка,Златослава,Алевтинівна,Жіноча,06.05.1966,Ріелтор,хутір Тлумач,"шосе Лиманчик 2-й Лінія 5-та, буд. 26, Чернігів, 49496",+380 56 326-86-81,antonvoblyi@example.com
Яковенко,Володимира,Данилівна,Жіноча,23.03.1994,Локсмайстер,село Харцизьк,"парк Василя Стуса, буд. 96, Вишневе , 48530",037 125-11-37,mbabenko@example.net
Петлюра,Сніжана,Богодарівна,Жіноча,17.11.1999,Паблік рилейшнз,місто Олевськ,"набережна Михайлівська, буд. 285, Довжанськ, 52296",+380 (03) 789-71-87,shutkosviatoslav@example.net
Баранець,Михайлина,Іллівна,Жіноча,16.03.1948,Клавішник,селище Васильків,"набережна Лазурний 1-й, буд. 64, Новоселиця, 98385",+380 (55) 009-34-34,kskoryk@example.com
Романчук,Юстина,Демидівна,Жіноча,15.02.1963,Модель,місто Вінниця,"парк Олександра Вронського, буд. 3, Вільногірськ, 09431",057 337-47-95,kalekseienko@example.org
Ющенко,Амалія,Вадимівна,Жіноча,17.03.1947,Кінорежисер,село Світловодськ,"проспект Садовий, буд. 498, Торецьк, 10536",+380 (30) 390-52-87,vakhniinadiia@example.net
Масоха,Маруся,Захарівна,Жіноча,26.06.1938,Клавішник,село Полонне,"провулок Кутова, буд. 3, Благовіщенське, 23767",+380 06 858-46-59,mdavymuka@example.org
Ґоляш,Лариса,Марківна,Жіноча,30.01.2000,Парфюмер,місто Бердичів,"набережна Дорожня, буд. 21 кв. 78, Вашківці, 98749",+380 95 132 27 63,alberthuzenko@example.net
Ващук,Марія,Панасівна,Жіноча,12.10.2004,Геолог,село Нова Каховка,"парк 5-та Лінія Марії Демченко, буд. 05, Хорол , 28812",020 303 16 54,lfartushniak@example.org
Терещук,Людмила,Орестівна,Жіноча,12.10.1993,Бібліотекар,селище Радивилів,"сквер Квіткова, буд. 1 кв. 1, Слов'янськ, 38883",650 21 62,avreliilemeshko@example.org
Аврамчук,Валентина,Ростиславівна,Жіноча,21.02.1970,Астронавт,село Мостиська,"проспект Слєпньова, буд. 33, Ананьїв, 41005",082 630 98 05,llesyk@example.com
Кальченко,Валентина,Георгіївна,Жіноча,05.09.1990,Єгер,село Білопілля,"площа Усатівська, буд. 171, Курахове, 86492",+380 48 174-35-09,idanyliuk@example.net
Гавриш,Галина,Миколаївна,Жіноча,30.10.1960,Слідчий,селище Баштанка,"площа Листяний, буд. 19 кв. 99, Марганець , 77468",+380 (37) 835-64-64,lbabii@example.com
Сімашкевич,Вікторія,Назарівна,Жіноча,24.06.1993,Мінералог,місто Володимир-Волинський,"сквер Державіна, буд. 396 кв. 40, Острог, 84642",028 693 41 28,orkhyphunko@example.com
Яремків,Сніжана,Станіславівна,Жіноча,04.03.1979,Бібліотекар,хутір Скалат,"вулиця Чорноморський 2-й, буд. 6, Гайворон, 07325",206-70-00,oksana03@example.net
Гайденко,Богданна,Трохимівна,Жіноча,20.09.1968,Електромонтер,хутір Херсон,"вулиця Сумська, буд. 9, Батурин, 35050",525-83-16,oryna80@example.com
Батюк,Володимира,Микитівна,Жіноча,04.04.1980,Державний службовець,село Олешки,"парк Новгородська, буд. 2 кв. 68, Снігурівка, 53716",+380 18 686 50 58,voblyianastasiia@example.com
Швачка,Маруся,Ігорівна,Жіноча,22.05.1966,Петрограф,селище Бахмач,"провулок Новгородський 2-й, буд. 2 кв. 473, Ходорів, 13968",+380 90 036-45-85,snizhana47@example.net
Алексюк,Соломія,Олегівна,Жіноча,15.08.1948,Електрослюсар,село Борислав,"шосе Літакова, буд. 231 кв. 47, Заставна, 99754",+380 (05) 725-32-03,ievhenrubets@example.com
Фастенко,Марʼяна,Захарівна,Жіноча,08.02.1938,Конструктор,місто Білогірськ,"шосе Академіка Богатського, буд. 68, Гадяч, 20886",+380 96 261 54 31,svitlana25@example.net
Шаповал,Тетяна,Марківна,Жіноча,05.06.1980,Мистецтвознавець,хутір Ланівці,"шосе Заводська, буд. 860, Шумськ, 93521",+380 82 104-19-65,alina16@example.com
Дахно,Світлана,Олександрівна,Жіноча,20.02.1993,Ювелір,хутір Моспине,"парк Шолохова, буд. 732 кв. 05, Міусинськ, 49010",412 15 63,qdemianiuk@example.org
Деревʼянко,Людмила,Станіславівна,Жіноча,07.06.1999,Фрілансер,селище Ладижин,"провулок Матроський узвіз, буд. 213 кв. 1, Глобине, 47215",+380 98 342-95-14,ostapneporozhnii@example.com
Демиденко,Ліза,Пилипівна,Жіноча,16.07.1983,Ветеринар,селище Суми,"площа Уманська, буд. 05, Маріуполь, 51873",467-02-25,andriichukvolodymyr@example.org
Товстоліс,Анастасія,Степанівна,Жіноча,21.09.1988,М'ясник,хутір Коростень,"набережна Перепечка, буд. 3 кв. 806, Бердичів, 03368",+380 (71) 488-95-29,zlatoslavarebryk@example.com
Тарасенко,Камілла,Болеславівна,Жіноча,21.08.1939,Пекар,хутір Кривий Ріг,"шосе Дачний 1-й, буд. 24, Луганськ, 83463",014 441-11-28,solomiia56@example.org
Забара,Ада,Трохимівна,Жіноча,19.01.1977,Бібліограф,селище Бердичів,"проспект Достоєвського, буд. 5 кв. 94, Моспине, 35912",+380 45 705-85-07,tholyk@example.net
Сагаль,Сніжана,Несторівна,Жіноча,10.12.2006,Промисловець,селище Вараш,"площа Дальня, буд. 6, Горлівка, 77520",+380 56 634-00-35,ihavrylyshyn@example.org
Макаренко,Єва,Аврелійовна,Жіноча,04.10.1970,Палеонтолог,село Зеленодольськ,"шосе Ушакова, буд. 988 кв. 59, Герца, 68659",044 632-82-99,hordiiholoborodko@example.org
Джунь,Володимира,Антонівна,Жіноча,24.07.2000,Промисловець,село Охтирка,"набережна Ризька, буд. 84, Сарни, 29510",+380 79 673-81-74,eduard20@example.net
Перепелиця,Альбіна,Варфоломіївна,Жіноча,31.03.1990,Сантехнік,хутір Білицьке,"парк Плієва, буд. 4 кв. 8, Іршава, 91285",095 345 59 11,ishchakmariana@example.org
Лавренко,Любов,Омелянівна,Жіноча,06.10.1995,Гінеколог,хутір Нововолинськ,"проспект Саксаганського, буд. 756 кв. 90, Токмак, 95939",067 64 98,hutsuliakbohuslav@example.net
Артимович,Віра,Мирославівна,Жіноча,28.08.1968,Астронавт,хутір Авдіївка,"сквер Рульовий, буд. 479, Гребінка, 20939",086 859 47 27,bohdankalenychenko@example.net
Доценко,Тетяна,Пилипівна,Жіноча,23.03.1997,Геолог,хутір Турка,"вулиця Залізнична, буд. 03, Амвросіївка, 85715",+380 (12) 264-85-86,volodymyra69@example.net
Тимченко,Мілена,Данівна,Жіноча,20.04.1993,Сценарист,село Галич,"проспект Кустанайська, буд. 8, Знам'янка, 30477",+380 (40) 780-85-47,virahavryliv@example.com
Прокопович,Камілла,Назарівна,Жіноча,08.04.1940,Мовознавець,селище Переяслав,"узвіз Горизонтальна, буд. 413 кв. 82, Мелітополь, 60231",+380 22 770-70-02,sbabko@example.net
Зінчук,Марʼяна,Геннадіївна,Жіноча,10.03.1992,Архітектор,село Глухів,"провулок Ветеранів праці, буд. 1, Татарбунари, 94192",+380 18 493-62-92,danchukfrants@example.org
Андрієнко,Володимира,Охрімівна,Жіноча,27.03.1998,Клавішник,селище Помічна,"площа Сергія Ядова, буд. 282, Немирів, 69176",+380 69 317 81 47,leopoldshchyrytsia@example.com
Онуфрієнко,Оксана,Костянтинівна,Жіноча,08.10.1994,Геофізик,хутір Харків,"шосе Довженка, буд. 6, Тараща, 68361",718-71-34,hanna57@example.net
Вертипорох,Мілена,Макарівна,Жіноча,31.01.1994,Археолог,село Новодружеськ,"площа Садова 5-та, буд. 7 кв. 30, Сколе, 87144",071 017-10-90,ulutsenko@example.org
Андріїшин,Ірена,Богданівна,Жіноча,29.03.1945,Будник,хутір Житомир,"проспект Мостовий, буд. 25 кв. 547, Жданівка, 96550",608-17-23,stepanudovenko@example.com
Голобородько,Христина,Пилипівна,Жіноча,04.05.2006,Музичний редактор,село Мерефа,"парк Нафтовиків 3-й, буд. 915 кв. 623, Зміїв, 98108",+380 04 064-03-60,vasyl04@example.org
Артимишин,Ганна,Прохорівна,Жіноча,10.08.1940,Круп'є,селище Обухів,"вулиця Дубова, буд. 93, Федорівка, 09063",+380 89 419-61-04,geregavira@example.com
Саченко,Тетяна,Степанівна,Жіноча,04.02.1968,Детектив,село Моспине,"шосе Агрономічна, буд. 4 кв. 255, Надвірна, 16538",018-09-80,erika89@example.net
Баранник,Тетяна,Трохимівна,Жіноча,28.09.1958,Кушнір,селище Переяслав,"сквер Верстатобудівна, буд. 373 кв. 19, Алмазна, 58961",053 33 20,amaliia34@example.com
Андрощук,Ірена,Богодарівна,Жіноча,26.04.1986,Музичний редактор,хутір Червоносів,"площа Восьмого березня 6-й, буд. 1 кв. 267, Балта, 44945",072 002 28 34,alina43@example.net
Забарний,Тетяна,Веніяминівна,Жіноча,30.12.1968,Конструктор,село Гнівань,"шосе Бехтерєва, буд. 86, Торецьк, 67290",012 701-31-70,ivanchenkoruslan@example.com
Бездітко,Сніжана,Степанівна,Жіноча,12.12.1981,Ботанік,село Вознесенівка,"провулок Сонячна, буд. 26 кв. 9, Сватове, 59203",+380 48 305-80-04,pmamchur@example.com
Рубан,Анастасія,Глібівна,Жіноча,06.10.1991,Паралегал,село Коростишів,"узвіз ім. С.Ю. Вітте, буд. 28 кв. 07, Радехів, 67239",791-48-50,dubynamariana@example.org
Черінько,Віолетта,Артемівна,Жіноча,02.08.1961,Модельєр,хутір Бахчисарай,"узвіз Скляний 2-й, буд. 5 кв. 998, Глиняни, 09966",012 416 14 98,pzinchuk@example.org
Пустовіт,Анастасія,Бориславівна,Жіноча,24.02.1994,Шериф,місто Радивилів,"шосе Проектна 2-га, буд. 5 кв. 5, Чоп, 81804",+380 (42) 435-13-51,lvlasiuk@example.net
Гречко,Анжела,Іванівна,Жіноча,18.08.1987,Краєзнавець,село Лиман ,"шосе Шостої 1-й, буд. 9 кв. 6, Богодухів, 64731",161 66 88,zlatoslava98@example.org
Баранець,Орина,Альбертівна,Жіноча,13.08.1938,Гицель,хутір Мала Виска,"сквер Бреуса, буд. 8, Теплодар, 51824",+380 (46) 368-93-27,leonid84@example.org
Лавренко,Богданна,Вʼячеславівна,Жіноча,14.06.1948,Флорист,хутір Вознесенівка,"площа Флотський 4-й, буд. 3 кв. 3, Нова Одеса, 75034",+380 55 564-60-50,chornovilorest@example.net
Семенченко,Едита,Альбертівна,Жіноча,22.06.1958,Ботанік,селище Липовець,"провулок Заводська 4-та, буд. 469, Конотоп, 75636",088 643 06 59,iurchukvasyl@example.com
Супруненко,Камілла,Дмитріївна,Жіноча,02.10.1943,Науковець,село Гадяч,"провулок Амундсена, 1-й, буд. 865, Калуш, 53201",+380 81 487-75-60,miroshnychenkodanylo@example.net
Палій,Богуслава,Ігорівна,Жіноча,28.09.1957,Машиніст,село Міусинськ,"площа Квіткова, буд. 23 кв. 4, Ізмаїл, 48979",012 928-26-64,boryschuiko@example.com
Адамчук,Надія,Єфремівна,Жіноча,27.01.1985,Диригент,селище Мукачево,"набережна Студентський, буд. 27, Зоринськ, 13061",045 318 86 92,kharchenkonadiia@example.net
Дзиндра,Роксолана,Адамівна,Жіноча,20.08.1965,Гірник,місто Іловайськ,"сквер Лютневий 1-й, буд. 2, Мукачево, 63432",935 81 82,hermanazhazha@example.org
Удовенко,Вікторія,Климентівна,Жіноча,29.08.1987,Програміст,хутір Семенівка,"провулок Лінія 28-ма, буд. 79 кв. 0, Вінниця, 68330",+380 (06) 149-70-30,solomon29@example.com
Даниленко,Клавдія,Данилівна,Жіноча,05.11.1940,Фольклорист,селище Помічна,"шосе Студентський, буд. 803, Українка , 75075",823 87 33,vitaliineporozhnii@example.net
Демʼянюк,Анжела,Володимирівна,Жіноча,18.11.1980,Піаніст,хутір Вознесенськ,"набережна 11-та Суворовська, буд. 36, Волноваха, 80692",024 782-71-55,zakusyloartem@example.net
